species_code,within,inter,order,family,scientific_name,common_name,primary,secondary
herthr,0,1,Passeriformes,Turdidae,Catharus guttatus,Hermit Thrush,0,1
horlar,0,1,Passeriformes,Alaudidae,Eremophila alpestris,Horned Lark,1,1
houfin,0,1,Passeriformes,Fringillidae,Haemorhous mexicanus,House Finch,0,1
houspa,0,1,Passeriformes,Passeridae,Passer domesticus,House Sparrow,0,1
ivbwoo1,0,1,Passeriformes,Furnariidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,0,1
javspa,0,1,Passeriformes,Estrildidae,Padda oryzivora,Java Sparrow,0,1
juntit1,1,1,Passeriformes,Paridae,Baeolophus ridgwayi,Juniper Titmouse,0,1
lasfly,0,1,Passeriformes,Tyrannidae,Myiarchus sagrae,La Sagra's Flycatcher,0,1
louwat,0,1,Passeriformes,Parulidae,Parkesia motacilla,Louisiana Waterthrush,0,1
lucwar,1,1,Passeriformes,Parulidae,Leiothlypis luciae,Lucy's Warbler,0,1
manswa1,0,1,Passeriformes,Hirundinidae,Tachycineta albilinea,Mangrove Swallow,0,1
mastit1,0,1,Passeriformes,Tityridae,Tityra semifasciata,Masked Tityra,0,1
mckbun,0,1,Passeriformes,Calcariidae,Plectrophenax hyperboreus,McKay's Bunting,0,1
mexchi,1,1,Passeriformes,Paridae,Poecile sclateri,Mexican Chickadee,1,1
moublu,0,1,Passeriformes,Turdidae,Sialia currucoides,Mountain Bluebird,0,1
mouchi,0,1,Passeriformes,Paridae,Poecile gambeli,Mountain Chickadee,0,1
nigwre1,0,1,Passeriformes,Troglodytidae,Microcerculus philomela,Nightingale Wren,0,1
nobwoo1,0,1,Passeriformes,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,0,1
normoc,0,1,Passeriformes,Mimidae,Mimus polyglottos,Northern Mockingbird,0,1
norwat,0,1,Passeriformes,Parulidae,Parkesia noveboracensis,Northern Waterthrush,0,1
norwhe,0,1,Passeriformes,Muscicapidae,Oenanthe oenanthe,Northern Wheatear,0,1
nrwswa,0,1,Passeriformes,Hirundinidae,Stelgidopteryx serripennis,Northern Rough-winged Swallow,1,1
nutfly,0,1,Passeriformes,Tyrannidae,Myiarchus nuttingi,Nutting's Flycatcher,0,1
oaktit,0,1,Passeriformes,Paridae,Baeolophus inornatus,Oak Titmouse,1,1
oliwoo1,0,1,Passeriformes,Furnariidae,Sittasomus griseicapillus,Olivaceous Woodcreeper,0,1
pacwre1,0,1,Passeriformes,Troglodytidae,Troglodytes pacificus,Pacific Wren,0,1
pirfly1,0,1,Passeriformes,Tyrannidae,Legatus leucophaius,Piratic Flycatcher,0,1
prowar,0,1,Passeriformes,Parulidae,Protonotaria citrea,Prothonotary Warbler,0,1
purmar,0,1,Passeriformes,Hirundinidae,Progne subis,Purple Martin,0,1
pygnut,0,1,Passeriformes,Sittidae,Sitta pygmaea,Pygmy Nuthatch,1,1
rebnut,0,1,Passeriformes,Sittidae,Sitta canadensis,Red-breasted Nuthatch,1,1
rocwre,0,1,Passeriformes,Troglodytidae,Salpinctes obsoletus,Rock Wren,0,1
rubwre2,0,1,Passeriformes,Troglodytidae,Troglodytes rufociliatus,Rufous-browed Wren,0,1
rudwoo1,0,1,Passeriformes,Furnariidae,Dendrocincla homochroa,Ruddy Woodcreeper,0,1
rufgle1,0,1,Passeriformes,Furnariidae,Clibanornis rubiginosus,Ruddy Foliage-gleaner,0,1
rufmou1,0,1,Passeriformes,Tyrannidae,Rhytipterna holerythra,Rufous Mourner,0,1
saffin,0,1,Passeriformes,Thraupidae,Sicalis flaveola,Saffron Finch,0,1
saypho,0,1,Passeriformes,Tyrannidae,Sayornis saya,Say's Phoebe,0,1
sctlea1,0,1,Passeriformes,Furnariidae,Sclerurus guatemalensis,Scaly-throated Leaftosser,1,0
snobun,0,1,Passeriformes,Calcariidae,Plectrophenax nivalis,Snow Bunting,0,1
socfly1,0,1,Passeriformes,Tyrannidae,Myiozetetes similis,Social Flycatcher,0,1
spcwoo1,0,1,Passeriformes,Furnariidae,Lepidocolaptes affinis,Spot-crowned Woodcreeper,0,1
spowoo1,0,1,Passeriformes,Furnariidae,Xiphorhynchus erythropygius,Spotted Woodcreeper,1,0
stbwoo1,0,1,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,0,1
stfgle1,0,1,Passeriformes,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,0,1
sthwoo1,0,1,Passeriformes,Furnariidae,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,0,1
strfly1,0,1,Passeriformes,Tyrannidae,Myiodynastes maculatus,Streaked Flycatcher,0,1
subfly,0,1,Passeriformes,Tyrannidae,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,0,1
sumwre1,1,1,Passeriformes,Troglodytidae,Hylorchilus sumichrasti,Sumichrast's Wren,0,1
tatlea1,0,1,Passeriformes,Furnariidae,Sclerurus mexicanus,Middle American Leaftosser,1,0
tawwoo1,0,1,Passeriformes,Furnariidae,Dendrocincla anabatina,Tawny-winged Woodcreeper,0,1
towsol,0,1,Passeriformes,Turdidae,Myadestes townsendi,Townsend's Solitaire,0,1
treswa,0,1,Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,0,1
tuftit,0,1,Passeriformes,Paridae,Baeolophus bicolor,Tufted Titmouse,0,1
veery,0,1,Passeriformes,Turdidae,Catharus fuscescens,Veery,0,1
vigswa,0,1,Passeriformes,Hirundinidae,Tachycineta thalassina,Violet-green Swallow,0,1
webwoo1,0,1,Passeriformes,Furnariidae,Glyphorynchus spirurus,Wedge-billed Woodcreeper,0,1
wesblu,0,1,Passeriformes,Turdidae,Sialia mexicana,Western Bluebird,1,1
wesfly,0,1,Passeriformes,Tyrannidae,Empidonax difficilis,Western Flycatcher,0,1
whbnut,0,1,Passeriformes,Sittidae,Sitta carolinensis,White-breasted Nuthatch,0,1
whiwag,0,1,Passeriformes,Motacillidae,Motacilla alba,White Wagtail,0,1
winwre3,0,1,Passeriformes,Troglodytidae,Troglodytes hiemalis,Winter Wren,0,1
yewtan1,0,1,Passeriformes,Thraupidae,Thraupis abbas,Yellow-winged Tanager,0,1
acowoo,0,1,Piciformes,Picidae,Melanerpes formicivorus,Acorn Woodpecker,1,0
ariwoo,0,1,Piciformes,Picidae,Dryobates arizonae,Arizona Woodpecker,1,0
bkbwoo,0,1,Piciformes,Picidae,Picoides arcticus,Black-backed Woodpecker,1,0
blcwoo1,0,1,Piciformes,Picidae,Melanerpes pucherani,Black-cheeked Woodpecker,1,0
chcwoo1,0,1,Piciformes,Picidae,Celeus castaneus,Chestnut-colored Woodpecker,1,0
colara1,0,1,Piciformes,Ramphastidae,Pteroglossus torquatus,Collared Aracari,0,1
dowwoo,0,1,Piciformes,Picidae,Dryobates pubescens,Downy Woodpecker,1,0
gilfli,0,1,Piciformes,Picidae,Colaptes chrysoides,Gilded Flicker,1,0
gilwoo,0,1,Piciformes,Picidae,Melanerpes uropygialis,Gila Woodpecker,1,0
gocwoo1,0,1,Piciformes,Picidae,Melanerpes chrysogenys,Golden-cheeked Woodpecker,1,0
gofwoo,0,1,Piciformes,Picidae,Melanerpes aurifrons,Golden-fronted Woodpecker,1,0
goowoo1,0,1,Piciformes,Picidae,Colaptes rubiginosus,Golden-olive Woodpecker,1,0
grbwoo1,1,1,Piciformes,Picidae,Melanerpes hypopolius,Gray-breasted Woodpecker,1,0
haiwoo,0,1,Piciformes,Picidae,Dryobates villosus,Hairy Woodpecker,1,0
kebtou1,0,1,Piciformes,Ramphastidae,Ramphastos sulfuratus,Keel-billed Toucan,0,1
labwoo,0,1,Piciformes,Picidae,Dryobates scalaris,Ladder-backed Woodpecker,1,0
lewwoo,1,1,Piciformes,Picidae,Melanerpes lewis,Lewis's Woodpecker,1,1
linwoo1,0,1,Piciformes,Picidae,Dryocopus lineatus,Lineated Woodpecker,1,0
noremt1,0,1,Piciformes,Ramphastidae,Aulacorhynchus prasinus,Northern Emerald-Toucanet,1,1
norfli,0,1,Piciformes,Picidae,Colaptes auratus,Northern Flicker,1,1
norfli1,0,1,Piciformes,Picidae,Colaptes mexicanoides,Guatemalan Flicker,1,0
nutwoo,0,1,Piciformes,Picidae,Dryobates nuttallii,Nuttall's Woodpecker,1,0
pabwoo1,0,1,Piciformes,Picidae,Campephilus guatemalensis,Pale-billed Woodpecker,1,0
pilwoo,0,1,Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,1,0
rebsap,0,1,Piciformes,Picidae,Sphyrapicus ruber,Red-breasted Sapsucker,1,0
rebwoo,0,1,Piciformes,Picidae,Melanerpes carolinus,Red-bellied Woodpecker,1,0
recwoo,0,1,Piciformes,Picidae,Dryobates borealis,Red-cockaded Woodpecker,1,0
rehwoo,0,1,Piciformes,Picidae,Melanerpes erythrocephalus,Red-headed Woodpecker,1,1
rensap,1,1,Piciformes,Picidae,Sphyrapicus nuchalis,Red-naped Sapsucker,1,0
rutjac1,0,1,Piciformes,Galbulidae,Galbula ruficauda,Rufous-tailed Jacamar,1,0
smbwoo1,0,1,Piciformes,Picidae,Dryobates fumigatus,Smoky-brown Woodpecker,1,0
strwoo,1,1,Piciformes,Picidae,Dryobates stricklandi,Strickland's Woodpecker,1,0
whhwoo,1,1,Piciformes,Picidae,Dryobates albolarvatus,White-headed Woodpecker,1,0
whnpuf2,0,1,Piciformes,Bucconidae,Notharchus hyperrhynchus,White-necked Puffbird,1,0
whwpuf1,0,1,Piciformes,Bucconidae,Malacoptila panamensis,White-whiskered Puffbird,1,0
wilsap,1,1,Piciformes,Picidae,Sphyrapicus thyroideus,Williamson's Sapsucker,1,0
yebsap-example,1,1,Piciformes,Picidae,Sphyrapicus varius,Yellow-bellied Sapsucker,1,0
yucwoo,0,1,Piciformes,Picidae,Melanerpes pygmaeus,Yucatan Woodpecker,1,0
asspet,0,1,Procellariiformes,Hydrobatidae,Hydrobates homochroa,Ashy Storm-Petrel,0,1
audshe,0,1,Procellariiformes,Procellariidae,Puffinus lherminieri,Sargasso Shearwater,1,1
bkvshe,0,1,Procellariiformes,Procellariidae,Puffinus opisthomelas,Black-vented Shearwater,1,1
bkwpet,0,1,Procellariiformes,Procellariidae,Pterodroma nigripennis,Black-winged Petrel,1,1
bulshe,0,1,Procellariiformes,Procellariidae,Ardenna bulleri,Buller's Shearwater,1,1
coopet,0,1,Procellariiformes,Procellariidae,Pterodroma cookii,Cook's Petrel,1,0
ftspet,0,1,Procellariiformes,Hydrobatidae,Hydrobates furcatus,Fork-tailed Storm-Petrel,0,1
greshe,0,1,Procellariiformes,Procellariidae,Ardenna gravis,Great Shearwater,1,1
lcspet,0,1,Procellariiformes,Hydrobatidae,Hydrobates leucorhous,Leach's Storm-Petrel,0,1
lsspet,0,1,Procellariiformes,Hydrobatidae,Hydrobates microsoma,Least Storm-Petrel,0,1
manshe,0,1,Procellariiformes,Procellariidae,Puffinus puffinus,Manx Shearwater,1,0
motpet,0,1,Procellariiformes,Procellariidae,Pterodroma inexpectata,Mottled Petrel,0,1
pifshe,0,1,Procellariiformes,Procellariidae,Ardenna creatopus,Pink-footed Shearwater,0,1
shtshe,0,1,Procellariiformes,Procellariidae,Ardenna tenuirostris,Short-tailed Shearwater,1,0
sooshe,0,1,Procellariiformes,Procellariidae,Ardenna grisea,Sooty Shearwater,1,1
wispet,0,1,Procellariiformes,Oceanitidae,Oceanites oceanicus,Wilson's Storm-Petrel,0,1
barpar1,0,1,Psittaciformes,Psittacidae,Bolborhynchus lineola,Barred Parakeet,0,1
baymac,0,1,Psittaciformes,Psittacidae,Ara ararauna,Blue-and-yellow Macaw,0,1
bkhpar,0,1,Psittaciformes,Psittacidae,Aratinga nenday,Nanday Parakeet,0,1
brhpar1,0,1,Psittaciformes,Psittacidae,Pyrilia haematotis,Brown-hooded Parrot,0,1
bucpar,0,1,Psittaciformes,Psittacidae,Thectocercus acuticaudatus,Blue-crowned Parakeet,0,1
burpar,0,1,Psittaciformes,Psittacidae,Cyanoliseus patagonus,Burrowing Parakeet,1,0
chfmac1,0,1,Psittaciformes,Psittacidae,Ara severus,Chestnut-fronted Macaw,0,1
grnpar,0,1,Psittaciformes,Psittacidae,Psittacara holochlorus,Green Parakeet,0,1
licpar,0,1,Psittaciformes,Psittacidae,Amazona finschi,Lilac-crowned Amazon,0,1
mafpar1,1,1,Psittaciformes,Psittacidae,Rhynchopsitta terrisi,Maroon-fronted Parrot,0,1
meapar,0,1,Psittaciformes,Psittacidae,Amazona farinosa,Mealy Amazon,0,1
mexpar1,0,1,Psittaciformes,Psittacidae,Forpus cyanopygius,Mexican Parrotlet,0,1
milmac,0,1,Psittaciformes,Psittacidae,Ara militaris,Military Macaw,0,1
mitpar,0,1,Psittaciformes,Psittacidae,Psittacara mitratus,Mitred Parakeet,0,1
oltpar1,0,1,Psittaciformes,Psittacidae,Eupsittula nana,Olive-throated Parakeet,1,1
orcpar,0,1,Psittaciformes,Psittacidae,Brotogeris jugularis,Orange-chinned Parakeet,0,1
orfpar,0,1,Psittaciformes,Psittacidae,Eupsittula canicularis,Orange-fronted Parakeet,1,1
orwpar,0,1,Psittaciformes,Psittacidae,Amazona amazonica,Orange-winged Amazon,0,1
peflov,0,1,Psittaciformes,Psittacidae,Agapornis roseicollis,Rosy-faced Lovebird,0,1
recpar,0,1,Psittaciformes,Psittacidae,Amazona viridigenalis,Red-crowned Amazon,0,1
relpar,0,1,Psittaciformes,Psittacidae,Amazona autumnalis,Red-lored Amazon,0,1
rempar,0,1,Psittaciformes,Psittacidae,Psittacara erythrogenys,Red-masked Parakeet,0,1
rorpar,0,1,Psittaciformes,Psittacidae,Psittacula krameri,Rose-ringed Parakeet,0,1
scamac1,0,1,Psittaciformes,Psittacidae,Ara macao,Scarlet Macaw,0,1
whcpar,0,1,Psittaciformes,Psittacidae,Pionus senilis,White-crowned Parrot,0,1
whepar2,0,1,Psittaciformes,Psittacidae,Psittacara leucophthalmus,White-eyed Parakeet,0,1
whfpar1,0,1,Psittaciformes,Psittacidae,Amazona albifrons,White-fronted Amazon,0,1
whwpar,0,1,Psittaciformes,Psittacidae,Brotogeris versicolurus,White-winged Parakeet,0,1
yecpar,0,1,Psittaciformes,Psittacidae,Brotogeris chiriri,Yellow-chevroned Parakeet,0,1
yehpar,0,1,Psittaciformes,Psittacidae,Amazona oratrix,Yellow-headed Amazon,0,1
yelpar1,0,1,Psittaciformes,Psittacidae,Amazona xantholora,Yellow-lored Amazon,0,1
yenpar1,0,1,Psittaciformes,Psittacidae,Amazona auropalliata,Yellow-naped Amazon,0,1
basowl,0,1,Strigiformes,Strigidae,Megascops seductus,Balsas Screech-Owl,0,1
besowl,0,1,Strigiformes,Strigidae,Megascops barbarus,Bearded Screech-Owl,0,1
borowl,0,1,Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,0,1
brdowl,0,1,Strigiformes,Strigidae,Strix varia,Barred Owl,0,1
burowl,0,1,Strigiformes,Strigidae,Athene cunicularia,Burrowing Owl,1,1
capowl1,0,1,Strigiformes,Strigidae,Glaucidium griseiceps,Central American Pygmy-Owl,0,1
copowl1,0,1,Strigiformes,Strigidae,Glaucidium palmarum,Colima Pygmy-Owl,0,1
creowl1,0,1,Strigiformes,Strigidae,Lophostrix cristata,Crested Owl,0,1
easowl1,0,1,Strigiformes,Strigidae,Megascops asio,Eastern Screech-Owl,0,1
elfowl,1,1,Strigiformes,Strigidae,Micrathene whitneyi,Elf Owl,0,1
fepowl,0,1,Strigiformes,Strigidae,Glaucidium brasilianum,Ferruginous Pygmy-Owl,0,1
flaowl,0,1,Strigiformes,Strigidae,Psiloscops flammeolus,Flammulated Owl,0,1
fulowl1,0,1,Strigiformes,Strigidae,Strix fulvescens,Fulvous Owl,0,1
loeowl,0,1,Strigiformes,Strigidae,Asio otus,Long-eared Owl,0,1
motowl,0,1,Strigiformes,Strigidae,Strix virgata,Mottled Owl,0,1
nohowl,0,1,Strigiformes,Strigidae,Surnia ulula,Northern Hawk Owl,0,1
nopowl,0,1,Strigiformes,Strigidae,Glaucidium gnoma,Northern Pygmy-Owl,0,1
nswowl,0,1,Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-whet Owl,0,1
pasowl4,0,1,Strigiformes,Strigidae,Megascops cooperi,Pacific Screech-Owl,0,1
speowl1,0,1,Strigiformes,Strigidae,Pulsatrix perspicillata,Spectacled Owl,0,1
spoowl,0,1,Strigiformes,Strigidae,Strix occidentalis,Spotted Owl,0,1
strowl1,0,1,Strigiformes,Strigidae,Asio clamator,Striped Owl,0,1
styowl1,0,1,Strigiformes,Strigidae,Asio stygius,Stygian Owl,0,1
uswowl1,0,1,Strigiformes,Strigidae,Aegolius ridgwayi,Unspotted Saw-whet Owl,0,1
vesowl,0,1,Strigiformes,Strigidae,Megascops guatemalae,Middle American Screech-Owl,0,1
wesowl1,0,1,Strigiformes,Strigidae,Megascops kennicottii,Western Screech-Owl,0,1
whsowl1,0,1,Strigiformes,Strigidae,Megascops trichopsis,Whiskered Screech-Owl,0,1
blhtro1,0,1,Trogoniformes,Trogonidae,Trogon melanocephalus,Black-headed Trogon,1,0
cittro1,0,1,Trogoniformes,Trogonidae,Trogon citreolus,Citreoline Trogon,1,0
coltro1,0,1,Trogoniformes,Trogonidae,Trogon collaris,Collared Trogon,1,1
earque,1,1,Trogoniformes,Trogonidae,Euptilotis neoxenus,Eared Quetzal,0,1
eletro,0,1,Trogoniformes,Trogonidae,Trogon elegans,Elegant Trogon,0,1
moutro1,0,1,Trogoniformes,Trogonidae,Trogon mexicanus,Mountain Trogon,0,1
resque1,0,1,Trogoniformes,Trogonidae,Pharomachrus mocinno,Resplendent Quetzal,1,1
slttro1,0,1,Trogoniformes,Trogonidae,Trogon massena,Slaty-tailed Trogon,1,0
altyel1,0,1,NA,NA,Geothlypis flavovelata,Altamira Yellowthroat,NA,NA
attwoo1,0,1,NA,NA,Picoides dorsalis,American Three-toed Woodpecker,NA,NA
banqua1,0,1,NA,NA,Philortyx fasciatus,Banded Quail,NA,NA
bawori1,0,1,NA,NA,Icterus maculialatus,Bar-winged Oriole,NA,NA
