order,family,sci,com,code,primary,secondary,tree
Falconiformes,Falconidae,Herpetotheres cachinnans,Laughing Falcon,laufal1,0,1,1
Falconiformes,Falconidae,Falco columbarius,Merlin,merlin,0,1,1
Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,perfal,0,1,1
Galliformes,Cracidae,Ortalis vetula,Plain Chachalaca,placha,0,1,1
Passeriformes,Certhiidae,Certhia americana,Brown Creeper,brncre,0,1,1
Passeriformes,Estrildidae,Padda oryzivora,Java Sparrow,javspa,0,1,1
Passeriformes,Formicariidae,Formicarius moniliger,Mayan Antthrush,bkfant2,0,1,1
Passeriformes,Fringillidae,Haemorhous mexicanus,House Finch,houfin,0,1,1
Passeriformes,Furnariidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,0,1,1
Passeriformes,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,nobwoo1,0,1,1
Passeriformes,Furnariidae,Sittasomus griseicapillus,Olivaceous Woodcreeper,oliwoo1,0,1,1
Passeriformes,Furnariidae,Dendrocincla homochroa,Ruddy Woodcreeper,rudwoo1,0,1,1
Passeriformes,Furnariidae,Sclerurus guatemalensis,Scaly-throated Leaftosser,sctlea1,1,0,1
Passeriformes,Furnariidae,Lepidocolaptes affinis,Spot-crowned Woodcreeper,spcwoo1,0,1,1
Passeriformes,Furnariidae,Xiphorhynchus erythropygius,Spotted Woodcreeper,spowoo1,1,0,1
Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,stbwoo1,0,1,1
Passeriformes,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,stfgle1,0,1,1
Passeriformes,Furnariidae,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1,0,1,1
Passeriformes,Furnariidae,Dendrocincla anabatina,Tawny-winged Woodcreeper,tawwoo1,0,1,1
Passeriformes,Furnariidae,Glyphorynchus spirurus,Wedge-billed Woodcreeper,webwoo1,0,1,1
Passeriformes,Hirundinidae,Progne chalybea,Gray-breasted Martin,gybmar,0,1,1
Passeriformes,Hirundinidae,Tachycineta albilinea,Mangrove Swallow,manswa1,0,1,1
Passeriformes,Hirundinidae,Stelgidopteryx serripennis,Northern Rough-winged Swallow,nrwswa,1,1,1
Passeriformes,Hirundinidae,Progne subis,Purple Martin,purmar,0,1,1
Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,treswa,0,1,1
Passeriformes,Hirundinidae,Tachycineta thalassina,Violet-green Swallow,vigswa,0,1,1
Passeriformes,Icteridae,Euphagus cyanocephalus,Brewer's Blackbird,brebla,0,1,1
Passeriformes,Icteridae,Quiscalus quiscula,Common Grackle,comgra,0,1,1
Passeriformes,Mimidae,Mimus polyglottos,Northern Mockingbird,normoc,0,1,1
Passeriformes,Paridae,Poecile atricapillus,Black-capped Chickadee,bkcchi,0,1,1
Passeriformes,Paridae,Baeolophus atricristatus,Black-crested Titmouse,blctit4,0,1,1
Passeriformes,Paridae,Poecile hudsonicus,Boreal Chickadee,borchi2,1,1,1
Passeriformes,Paridae,Baeolophus wollweberi,Bridled Titmouse,britit,0,1,1
Passeriformes,Paridae,Poecile carolinensis,Carolina Chickadee,carchi,1,1,1
Passeriformes,Paridae,Poecile rufescens,Chestnut-backed Chickadee,chbchi,1,1,1
Passeriformes,Paridae,Parus major,Great Tit,gretit1,0,1,1
Passeriformes,Paridae,Baeolophus ridgwayi,Juniper Titmouse,juntit1,0,1,1
Passeriformes,Paridae,Poecile sclateri,Mexican Chickadee,mexchi,1,1,1
Passeriformes,Paridae,Poecile gambeli,Mountain Chickadee,mouchi,0,1,1
Passeriformes,Paridae,Baeolophus inornatus,Oak Titmouse,oaktit,1,1,1
Passeriformes,Paridae,Baeolophus bicolor,Tufted Titmouse,tuftit,0,1,1
Passeriformes,Parulidae,Setophaga virens,Black-throated Green Warbler,btnwar,0,1,1
Passeriformes,Parulidae,Parkesia motacilla,Louisiana Waterthrush,louwat,0,1,1
Passeriformes,Parulidae,Leiothlypis luciae,Lucy's Warbler,lucwar,0,1,1
Passeriformes,Parulidae,Parkesia noveboracensis,Northern Waterthrush,norwat,0,1,1
Passeriformes,Parulidae,Protonotaria citrea,Prothonotary Warbler,prowar,0,1,1
Passeriformes,Passerellidae,Junco hyemalis,Dark-eyed Junco,daejun,0,1,1
Passeriformes,Passeridae,Passer montanus,Eurasian Tree Sparrow,eutspa,0,1,1
Passeriformes,Passeridae,Passer domesticus,House Sparrow,houspa,0,1,1
Passeriformes,Phylloscopidae,Phylloscopus borealis,Arctic Warbler,arcwar1,0,1,1
Passeriformes,Sittidae,Sitta pusilla,Brown-headed Nuthatch,bnhnut,1,1,1
Passeriformes,Sittidae,Sitta pygmaea,Pygmy Nuthatch,pygnut,1,1,1
Passeriformes,Sittidae,Sitta canadensis,Red-breasted Nuthatch,rebnut,1,1,1
Passeriformes,Sittidae,Sitta carolinensis,White-breasted Nuthatch,whbnut,0,1,1
Passeriformes,Sturnidae,Acridotheres tristis,Common Myna,commyn,0,1,1
Passeriformes,Sturnidae,Sturnus vulgaris,European Starling,eursta,1,1,1
Passeriformes,Thraupidae,Thraupis abbas,Yellow-winged Tanager,yewtan1,0,1,1
Passeriformes,Tityridae,Tityra inquisitor,Black-crowned Tityra,blctit1,0,1,1
Passeriformes,Tityridae,Tityra semifasciata,Masked Tityra,mastit1,0,1,1
Passeriformes,Troglodytidae,Thryomanes bewickii,Bewick's Wren,bewwre,0,1,1
Passeriformes,Troglodytidae,Thryothorus ludovicianus,Carolina Wren,carwre,0,1,1
Passeriformes,Troglodytidae,Troglodytes pacificus,Pacific Wren,pacwre1,0,1,1
Passeriformes,Troglodytidae,Troglodytes rufociliatus,Rufous-browed Wren,rubwre2,0,1,1
Passeriformes,Troglodytidae,Troglodytes hiemalis,Winter Wren,winwre3,0,1,1
Passeriformes,Turdidae,Turdus grayi,Clay-colored Thrush,clcrob,0,1,1
Passeriformes,Turdidae,Sialia sialis,Eastern Bluebird,easblu,0,1,1
Passeriformes,Turdidae,Catharus guttatus,Hermit Thrush,herthr,0,1,1
Passeriformes,Turdidae,Sialia currucoides,Mountain Bluebird,moublu,0,1,1
Passeriformes,Turdidae,Myadestes townsendi,Townsend's Solitaire,towsol,0,1,1
Passeriformes,Turdidae,Catharus fuscescens,Veery,veery,0,1,1
Passeriformes,Turdidae,Sialia mexicana,Western Bluebird,wesblu,1,1,1
Passeriformes,Tyrannidae,Myiarchus cinerascens,Ash-throated Flycatcher,astfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus tyrannulus,Brown-crested Flycatcher,bncfly,0,1,1
Passeriformes,Tyrannidae,Attila spadiceus,Bright-rumped Attila,brratt1,0,1,1
Passeriformes,Tyrannidae,Myiarchus tuberculifer,Dusky-capped Flycatcher,ducfly,0,1,1
Passeriformes,Tyrannidae,Ramphotrigon flammulatum,Flammulated Flycatcher,flafly1,0,1,1
Passeriformes,Tyrannidae,Myiarchus crinitus,Great Crested Flycatcher,grcfly,0,1,1
Passeriformes,Tyrannidae,Pitangus sulphuratus,Great Kiskadee,grekis,0,1,1
Passeriformes,Tyrannidae,Myiarchus sagrae,La Sagra's Flycatcher,lasfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus nuttingi,Nutting's Flycatcher,nutfly,0,1,1
Passeriformes,Tyrannidae,Legatus leucophaius,Piratic Flycatcher,pirfly1,0,1,1
Passeriformes,Tyrannidae,Rhytipterna holerythra,Rufous Mourner,rufmou1,0,1,1
Passeriformes,Tyrannidae,Sayornis saya,Say's Phoebe,saypho,0,1,1
Passeriformes,Tyrannidae,Myiozetetes similis,Social Flycatcher,socfly1,0,1,1
Passeriformes,Tyrannidae,Myiodynastes maculatus,Streaked Flycatcher,strfly1,0,1,1
Passeriformes,Tyrannidae,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,subfly,0,1,1
Passeriformes,Tyrannidae,Empidonax difficilis,Western Flycatcher,wesfly,0,1,1
Piciformes,Bucconidae,Notharchus hyperrhynchus,White-necked Puffbird,whnpuf2,1,0,1
Piciformes,Galbulidae,Galbula ruficauda,Rufous-tailed Jacamar,rutjac1,1,0,1
Piciformes,Picidae,Melanerpes formicivorus,Acorn Woodpecker,acowoo,1,0,1
Piciformes,Picidae,Dryobates arizonae,Arizona Woodpecker,ariwoo,1,0,1
Piciformes,Picidae,Picoides arcticus,Black-backed Woodpecker,bkbwoo,1,0,1
Piciformes,Picidae,Melanerpes pucherani,Black-cheeked Woodpecker,blcwoo1,1,0,1
Piciformes,Picidae,Celeus castaneus,Chestnut-colored Woodpecker,chcwoo1,1,0,1
Piciformes,Picidae,Dryobates pubescens,Downy Woodpecker,dowwoo,1,0,1
Piciformes,Picidae,Colaptes chrysoides,Gilded Flicker,gilfli,1,0,1
Piciformes,Picidae,Melanerpes uropygialis,Gila Woodpecker,gilwoo,1,0,1
Piciformes,Picidae,Melanerpes chrysogenys,Golden-cheeked Woodpecker,gocwoo1,1,0,1
Piciformes,Picidae,Melanerpes aurifrons,Golden-fronted Woodpecker,gofwoo,1,0,1
Piciformes,Picidae,Colaptes rubiginosus,Golden-olive Woodpecker,goowoo1,1,0,1
Piciformes,Picidae,Melanerpes hypopolius,Gray-breasted Woodpecker,grbwoo1,1,0,1
Piciformes,Picidae,Dryobates villosus,Hairy Woodpecker,haiwoo,1,0,1
Piciformes,Picidae,Dryobates scalaris,Ladder-backed Woodpecker,labwoo,1,0,1
Piciformes,Picidae,Melanerpes lewis,Lewis's Woodpecker,lewwoo,1,1,1
Piciformes,Picidae,Dryocopus lineatus,Lineated Woodpecker,linwoo1,1,0,1
Piciformes,Picidae,Colaptes auratus,Northern Flicker,norfli,1,1,1
Piciformes,Picidae,Colaptes mexicanoides,Guatemalan Flicker,norfli1,1,0,1
Piciformes,Picidae,Dryobates nuttallii,Nuttall's Woodpecker,nutwoo,1,0,1
Piciformes,Picidae,Campephilus guatemalensis,Pale-billed Woodpecker,pabwoo1,1,0,1
Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,pilwoo,1,0,1
Piciformes,Picidae,Sphyrapicus ruber,Red-breasted Sapsucker,rebsap,1,0,1
Piciformes,Picidae,Melanerpes carolinus,Red-bellied Woodpecker,rebwoo,1,0,1
Piciformes,Picidae,Dryobates borealis,Red-cockaded Woodpecker,recwoo,1,0,1
Piciformes,Picidae,Melanerpes erythrocephalus,Red-headed Woodpecker,rehwoo,1,1,1
Piciformes,Picidae,Sphyrapicus nuchalis,Red-naped Sapsucker,rensap,1,0,1
Piciformes,Picidae,Dryobates fumigatus,Smoky-brown Woodpecker,smbwoo1,1,0,1
Piciformes,Picidae,Dryobates stricklandi,Strickland's Woodpecker,strwoo,1,0,1
Piciformes,Picidae,Dryobates albolarvatus,White-headed Woodpecker,whhwoo,1,0,1
Piciformes,Picidae,Sphyrapicus thyroideus,Williamson's Sapsucker,wilsap,1,0,1
Piciformes,Picidae,Sphyrapicus varius,Yellow-bellied Sapsucker,yebsap-example,1,0,1
Piciformes,Picidae,Melanerpes pygmaeus,Yucatan Woodpecker,yucwoo,1,0,1
Piciformes,Ramphastidae,Pteroglossus torquatus,Collared Aracari,colara1,0,1,1
Piciformes,Ramphastidae,Ramphastos sulfuratus,Keel-billed Toucan,kebtou1,0,1,1
Piciformes,Ramphastidae,Aulacorhynchus prasinus,Northern Emerald-Toucanet,noremt1,1,1,1
Psittaciformes,Psittacidae,Bolborhynchus lineola,Barred Parakeet,barpar1,0,1,1
Psittaciformes,Psittacidae,Aratinga nenday,Nanday Parakeet,bkhpar,0,1,1
Psittaciformes,Psittacidae,Pyrilia haematotis,Brown-hooded Parrot,brhpar1,0,1,1
Psittaciformes,Psittacidae,Thectocercus acuticaudatus,Blue-crowned Parakeet,bucpar,0,1,1
Psittaciformes,Psittacidae,Psittacara holochlorus,Green Parakeet,grnpar,0,1,1
Psittaciformes,Psittacidae,Amazona finschi,Lilac-crowned Amazon,licpar,0,1,1
Psittaciformes,Psittacidae,Amazona farinosa,Mealy Amazon,meapar,0,1,1
Psittaciformes,Psittacidae,Forpus cyanopygius,Mexican Parrotlet,mexpar1,0,1,1
Psittaciformes,Psittacidae,Ara militaris,Military Macaw,milmac,0,1,1
Psittaciformes,Psittacidae,Psittacara mitratus,Mitred Parakeet,mitpar,0,1,1
Psittaciformes,Psittacidae,Eupsittula nana,Olive-throated Parakeet,oltpar1,1,1,1
Psittaciformes,Psittacidae,Brotogeris jugularis,Orange-chinned Parakeet,orcpar,0,1,1
Psittaciformes,Psittacidae,Eupsittula canicularis,Orange-fronted Parakeet,orfpar,1,1,1
Psittaciformes,Psittacidae,Amazona amazonica,Orange-winged Amazon,orwpar,0,1,1
Psittaciformes,Psittacidae,Amazona viridigenalis,Red-crowned Amazon,recpar,0,1,1
Psittaciformes,Psittacidae,Amazona autumnalis,Red-lored Amazon,relpar,0,1,1
Psittaciformes,Psittacidae,Psittacara erythrogenys,Red-masked Parakeet,rempar,0,1,1
Psittaciformes,Psittacidae,Psittacula krameri,Rose-ringed Parakeet,rorpar,0,1,1
Psittaciformes,Psittacidae,Ara macao,Scarlet Macaw,scamac1,0,1,1
Psittaciformes,Psittacidae,Pionus senilis,White-crowned Parrot,whcpar,0,1,1
Psittaciformes,Psittacidae,Psittacara leucophthalmus,White-eyed Parakeet,whepar2,0,1,1
Psittaciformes,Psittacidae,Amazona albifrons,White-fronted Amazon,whfpar1,0,1,1
Psittaciformes,Psittacidae,Brotogeris versicolurus,White-winged Parakeet,whwpar,0,1,1
Psittaciformes,Psittacidae,Amazona oratrix,Yellow-headed Amazon,yehpar,0,1,1
Psittaciformes,Psittacidae,Amazona xantholora,Yellow-lored Amazon,yelpar1,0,1,1
Psittaciformes,Psittacidae,Amazona auropalliata,Yellow-naped Amazon,yenpar1,0,1,1
Strigiformes,Strigidae,Megascops seductus,Balsas Screech-Owl,basowl,0,1,1
Strigiformes,Strigidae,Megascops barbarus,Bearded Screech-Owl,besowl,0,1,1
Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,borowl,0,1,1
Strigiformes,Strigidae,Strix varia,Barred Owl,brdowl,0,1,1
Strigiformes,Strigidae,Glaucidium griseiceps,Central American Pygmy-Owl,capowl1,0,1,1
Strigiformes,Strigidae,Glaucidium palmarum,Colima Pygmy-Owl,copowl1,0,1,1
Strigiformes,Strigidae,Lophostrix cristata,Crested Owl,creowl1,0,1,1
Strigiformes,Strigidae,Megascops asio,Eastern Screech-Owl,easowl1,0,1,1
Strigiformes,Strigidae,Micrathene whitneyi,Elf Owl,elfowl,0,1,1
Strigiformes,Strigidae,Glaucidium brasilianum,Ferruginous Pygmy-Owl,fepowl,0,1,1
Strigiformes,Strigidae,Psiloscops flammeolus,Flammulated Owl,flaowl,0,1,1
Strigiformes,Strigidae,Strix fulvescens,Fulvous Owl,fulowl1,0,1,1
Strigiformes,Strigidae,Asio otus,Long-eared Owl,loeowl,0,1,1
Strigiformes,Strigidae,Strix virgata,Mottled Owl,motowl,0,1,1
Strigiformes,Strigidae,Surnia ulula,Northern Hawk Owl,nohowl,0,1,1
Strigiformes,Strigidae,Glaucidium gnoma,Northern Pygmy-Owl,nopowl,0,1,1
Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-whet Owl,nswowl,0,1,1
Strigiformes,Strigidae,Megascops cooperi,Pacific Screech-Owl,pasowl4,0,1,1
Strigiformes,Strigidae,Pulsatrix perspicillata,Spectacled Owl,speowl1,0,1,1
Strigiformes,Strigidae,Strix occidentalis,Spotted Owl,spoowl,0,1,1
Strigiformes,Strigidae,Asio clamator,Striped Owl,strowl1,0,1,1
Strigiformes,Strigidae,Asio stygius,Stygian Owl,styowl1,0,1,1
Strigiformes,Strigidae,Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,0,1,1
Strigiformes,Strigidae,Megascops guatemalae,Middle American Screech-Owl,vesowl,0,1,1
Strigiformes,Strigidae,Megascops kennicottii,Western Screech-Owl,wesowl1,0,1,1
Strigiformes,Strigidae,Megascops trichopsis,Whiskered Screech-Owl,whsowl1,0,1,1
Trogoniformes,Trogonidae,Trogon collaris,Collared Trogon,coltro1,1,1,1
Trogoniformes,Trogonidae,Euptilotis neoxenus,Eared Quetzal,earque,0,1,1
Trogoniformes,Trogonidae,Trogon elegans,Elegant Trogon,eletro,0,1,1
Trogoniformes,Trogonidae,Trogon mexicanus,Mountain Trogon,moutro1,0,1,1
Trogoniformes,Trogonidae,Pharomachrus mocinno,Resplendent Quetzal,resque1,1,1,1
Trogoniformes,Trogonidae,Trogon massena,Slaty-tailed Trogon,slttro1,1,0,1
NA,NA,Geothlypis flavovelata,Altamira Yellowthroat,altyel1,NA,NA,NA
NA,NA,Picoides dorsalis,American Three-toed Woodpecker,attwoo1,NA,NA,NA
NA,NA,Philortyx fasciatus,Banded Quail,banqua1,NA,NA,NA
NA,NA,Icterus maculialatus,Bar-winged Oriole,bawori1,NA,NA,NA
NA,NA,Himantopus mexicanus,Black-necked Stilt,bknsti,NA,NA,NA
NA,NA,Peucaea humeralis,Black-chested Sparrow,blcspa1,NA,NA,NA
NA,NA,Haematopus bachmani,Black Oystercatcher,blkoys,NA,NA,NA
NA,NA,Cyanolyca pumilo,Black-throated Jay,bltjay1,NA,NA,NA
NA,NA,Amaurospiza concolor,Blue Seedeater,blusee1,NA,NA,NA
NA,NA,Tyto furcata,American Barn Owl,brnowl,NA,NA,NA
NA,NA,Cyanocorax colliei,Black-throated Magpie-Jay,btmjay,NA,NA,NA
NA,NA,Lanio aurantius,Black-throated Shrike-Tanager,btstan1,NA,NA,NA
NA,NA,Thraupis episcopus,Blue-gray Tanager,bugtan,NA,NA,NA
NA,NA,Automolus cervinigularis,Fawn-throated Foliage-gleaner,butfog9,NA,NA,NA
NA,NA,Ardea ibis,Western Cattle-Egret,categr1,NA,NA,NA
NA,NA,Peucaea sumichrasti,Cinnamon-tailed Sparrow,citspa1,NA,NA,NA
NA,NA,Calonectris borealis/diomedea,Cory's/Scopoli's Shearwater,corshe,NA,NA,NA
NA,NA,Cynanthus forficatus,Cozumel Emerald,cozeme1,NA,NA,NA
NA,NA,Trogon caligatus,Gartered Trogon,gartro1,NA,NA,NA
NA,NA,Vireo hypochryseus,Golden Vireo,golvir1,NA,NA,NA
NA,NA,Pachyramphus major,Gray-collared Becard,grcbec1,NA,NA,NA
NA,NA,Butorides virescens,Green Heron,grnher,NA,NA,NA
NA,NA,Coccothraustes abeillei,Hooded Grosbeak,hoogro1,NA,NA,NA
NA,NA,Aphelocoma insularis,Island Scrub-Jay,issjay,NA,NA,NA
NA,NA,Sturnella lilianae,Chihuahuan Meadowlark,lilmea2,NA,NA,NA
NA,NA,Larus brachyrhynchus,Short-billed Gull,mewgul2,NA,NA,NA
NA,NA,Anas diazi,Mexican Duck,mexduc,NA,NA,NA
NA,NA,Phaethornis mexicanus,Mexican Hermit,mexher1,NA,NA,NA
NA,NA,Hylorchilus navai,Nava's Wren,navwre1,NA,NA,NA
NA,NA,Nannopterum brasilianum,Neotropic Cormorant,neocor,NA,NA,NA
NA,NA,Astur atricapillus,American Goshawk,norgos,NA,NA,NA
NA,NA,Aimophila notosticta,Oaxaca Sparrow,oaxspa1,NA,NA,NA
NA,NA,Cyrtonyx ocellatus,Ocellated Quail,ocequa1,NA,NA,NA
NA,NA,Psittacara strenuus,Pacific Parakeet,pacpar1,NA,NA,NA
NA,NA,Porphyrio poliocephalus,Gray-headed Swamphen,purswa3,NA,NA,NA
NA,NA,Loxia sinesciuris,Cassia Crossbill,redcro9,NA,NA,NA
NA,NA,Piranga roseogularis,Rose-throated Tanager,rottan1,NA,NA,NA
NA,NA,Driophlox fuscicauda,Red-throated Ant-Tanager,rtatan1,NA,NA,NA
NA,NA,Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,NA,NA,NA
NA,NA,Basileuterus delattrii,Chestnut-capped Warbler,rucwar4,NA,NA,NA
NA,NA,Phaeochroa cuvierii,Scaly-breasted Hummingbird,scbhum1,NA,NA,NA
NA,NA,Euphonia godmani,West Mexican Euphonia,screup3,NA,NA,NA
NA,NA,Dactylortyx thoracicus,Singing Quail,sinqua1,NA,NA,NA
NA,NA,Doricha enicura,Slender Sheartail,sleshe1,NA,NA,NA
NA,NA,Laniocera rufescens,Speckled Mourner,spemou1,NA,NA,NA
NA,NA,Polioptila bilineata,White-browed Gnatcatcher,trogna2,NA,NA,NA
NA,NA,Polioptila albiventris,Yucatan Gnatcatcher,whlgna3,NA,NA,NA
NA,NA,Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,NA,NA,NA
NA,NA,Selasphorus ellioti,Wine-throated Hummingbird,withum1,NA,NA,NA
NA,NA,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,wooscj2,NA,NA,NA
NA,NA,Cyanocorax formosus,White-throated Magpie-Jay,wtmjay1,NA,NA,NA
NA,NA,Carduelis carduelis/caniceps,European/Gray-crowned Goldfinch,y01288,NA,NA,NA
NA,NA,Troglodytes aedon/musculus,Northern/Southern House Wren,y01309,NA,NA,NA
NA,NA,Sula leucogaster/brewsteri,Brown/Cocos Booby,y01312,NA,NA,NA
NA,NA,Myiarchus yucatanensis,Yucatan Flycatcher,yucfly1,NA,NA,NA
