order,family,sci,com,code,primary,secondary,tree
Passeriformes,Turdidae,Sialia currucoides,Mountain Bluebird,moublu,0,1,1
Passeriformes,Turdidae,Sialia mexicana,Western Bluebird,wesblu,1,1,1
Passeriformes,Tyrannidae,Myiarchus cinerascens,Ash-throated Flycatcher,astfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus tyrannulus,Brown-crested Flycatcher,bncfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus tuberculifer,Dusky-capped Flycatcher,ducfly,0,1,1
Passeriformes,Tyrannidae,Ramphotrigon flammulatum,Flammulated Flycatcher,flafly1,0,1,1
Passeriformes,Tyrannidae,Myiarchus crinitus,Great Crested Flycatcher,grcfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus sagrae,La Sagra's Flycatcher,lasfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus nuttingi,Nutting's Flycatcher,nutfly,0,1,1
Passeriformes,Tyrannidae,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,subfly,0,1,1
Passeriformes,Tyrannidae,Myiarchus yucatanensis,Yucatan Flycatcher,yucfly1,0,1,1
Piciformes,Bucconidae,Notharchus hyperrhynchus,White-necked Puffbird,whnpuf2,1,0,1
Piciformes,Picidae,Melanerpes formicivorus,Acorn Woodpecker,acowoo,1,0,1
Piciformes,Picidae,Dryobates arizonae,Arizona Woodpecker,ariwoo,1,0,1
Piciformes,Picidae,Picoides dorsalis,American Three-toed Woodpecker,attwoo1,1,0,1
Piciformes,Picidae,Picoides arcticus,Black-backed Woodpecker,bkbwoo,1,0,1
Piciformes,Picidae,Melanerpes pucherani,Black-cheeked Woodpecker,blcwoo1,1,0,1
Piciformes,Picidae,Celeus castaneus,Chestnut-colored Woodpecker,chcwoo1,1,0,1
Piciformes,Picidae,Dryobates pubescens,Downy Woodpecker,dowwoo,1,0,1
Piciformes,Picidae,Colaptes chrysoides,Gilded Flicker,gilfli,1,0,1
Piciformes,Picidae,Melanerpes uropygialis,Gila Woodpecker,gilwoo,1,0,1
Piciformes,Picidae,Melanerpes chrysogenys,Golden-cheeked Woodpecker,gocwoo1,1,0,1
Piciformes,Picidae,Melanerpes aurifrons,Golden-fronted Woodpecker,gofwoo,1,0,1
Piciformes,Picidae,Colaptes rubiginosus,Golden-olive Woodpecker,goowoo1,1,0,1
Piciformes,Picidae,Melanerpes hypopolius,Gray-breasted Woodpecker,grbwoo1,1,0,1
Piciformes,Picidae,Dryobates villosus,Hairy Woodpecker,haiwoo,1,0,1
Piciformes,Picidae,Dryobates scalaris,Ladder-backed Woodpecker,labwoo,1,0,1
Piciformes,Picidae,Melanerpes lewis,Lewis's Woodpecker,lewwoo,1,1,1
Piciformes,Picidae,Dryocopus lineatus,Lineated Woodpecker,linwoo1,1,0,1
Piciformes,Picidae,Colaptes auratus,Northern Flicker,norfli,1,1,1
Piciformes,Picidae,Colaptes mexicanoides,Guatemalan Flicker,norfli1,1,0,1
Piciformes,Picidae,Dryobates nuttallii,Nuttall's Woodpecker,nutwoo,1,0,1
Piciformes,Picidae,Campephilus guatemalensis,Pale-billed Woodpecker,pabwoo1,1,0,1
Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,pilwoo,1,0,1
Piciformes,Picidae,Sphyrapicus ruber,Red-breasted Sapsucker,rebsap,1,0,1
Piciformes,Picidae,Melanerpes carolinus,Red-bellied Woodpecker,rebwoo,1,0,1
Piciformes,Picidae,Dryobates borealis,Red-cockaded Woodpecker,recwoo,1,0,1
Piciformes,Picidae,Melanerpes erythrocephalus,Red-headed Woodpecker,rehwoo,1,1,1
Piciformes,Picidae,Sphyrapicus nuchalis,Red-naped Sapsucker,rensap,1,0,1
Piciformes,Picidae,Dryobates fumigatus,Smoky-brown Woodpecker,smbwoo1,1,0,1
Piciformes,Picidae,Dryobates stricklandi,Strickland's Woodpecker,strwoo,1,0,1
Piciformes,Picidae,Dryobates albolarvatus,White-headed Woodpecker,whhwoo,1,0,1
Piciformes,Picidae,Sphyrapicus thyroideus,Williamson's Sapsucker,wilsap,1,0,1
Piciformes,Picidae,Sphyrapicus varius,Yellow-bellied Sapsucker,yebsap-example,1,0,1
Piciformes,Picidae,Melanerpes pygmaeus,Yucatan Woodpecker,yucwoo,1,0,1
Piciformes,Ramphastidae,Pteroglossus torquatus,Collared Aracari,colara1,0,1,1
Piciformes,Ramphastidae,Ramphastos sulfuratus,Keel-billed Toucan,kebtou1,0,1,1
Piciformes,Ramphastidae,Aulacorhynchus prasinus,Northern Emerald-Toucanet,noremt1,0,1,1
Psittaciformes,Psittacidae,Bolborhynchus lineola,Barred Parakeet,barpar1,0,1,1
Psittaciformes,Psittacidae,Pyrilia haematotis,Brown-hooded Parrot,brhpar1,0,1,1
Psittaciformes,Psittacidae,Psittacara holochlorus,Green Parakeet,grnpar,0,1,1
Psittaciformes,Psittacidae,Amazona finschi,Lilac-crowned Amazon,licpar,0,1,1
Psittaciformes,Psittacidae,Amazona farinosa,Mealy Amazon,meapar,0,1,1
Psittaciformes,Psittacidae,Forpus cyanopygius,Mexican Parrotlet,mexpar1,0,1,1
Psittaciformes,Psittacidae,Ara militaris,Military Macaw,milmac,0,1,1
Psittaciformes,Psittacidae,Eupsittula nana,Olive-throated Parakeet,oltpar1,1,1,1
Psittaciformes,Psittacidae,Brotogeris jugularis,Orange-chinned Parakeet,orcpar,0,1,1
Psittaciformes,Psittacidae,Eupsittula canicularis,Orange-fronted Parakeet,orfpar,1,1,1
Psittaciformes,Psittacidae,Psittacara strenuus,Pacific Parakeet,pacpar1,0,1,1
Psittaciformes,Psittacidae,Amazona viridigenalis,Red-crowned Amazon,recpar,0,1,1
Psittaciformes,Psittacidae,Amazona autumnalis,Red-lored Amazon,relpar,0,1,1
Psittaciformes,Psittacidae,Ara macao,Scarlet Macaw,scamac1,0,1,1
Psittaciformes,Psittacidae,Amazona albifrons,White-fronted Amazon,whfpar1,0,1,1
Psittaciformes,Psittacidae,Amazona auropalliata,Yellow-naped Amazon,yenpar1,0,1,1
Strigiformes,Strigidae,Megascops seductus,Balsas Screech-Owl,basowl,0,1,1
Strigiformes,Strigidae,Megascops barbarus,Bearded Screech-Owl,besowl,0,1,1
Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,borowl,0,1,1
Strigiformes,Strigidae,Strix varia,Barred Owl,brdowl,0,1,1
Strigiformes,Strigidae,Glaucidium griseiceps,Central American Pygmy-Owl,capowl1,0,1,1
Strigiformes,Strigidae,Glaucidium palmarum,Colima Pygmy-Owl,copowl1,0,1,1
Strigiformes,Strigidae,Lophostrix cristata,Crested Owl,creowl1,0,1,1
Strigiformes,Strigidae,Megascops asio,Eastern Screech-Owl,easowl1,0,1,1
Strigiformes,Strigidae,Micrathene whitneyi,Elf Owl,elfowl,0,1,1
Strigiformes,Strigidae,Glaucidium brasilianum,Ferruginous Pygmy-Owl,fepowl,0,1,1
Strigiformes,Strigidae,Psiloscops flammeolus,Flammulated Owl,flaowl,0,1,1
Strigiformes,Strigidae,Strix fulvescens,Fulvous Owl,fulowl1,0,1,1
Strigiformes,Strigidae,Strix virgata,Mottled Owl,motowl,0,1,1
Strigiformes,Strigidae,Surnia ulula,Northern Hawk Owl,nohowl,0,1,1
Strigiformes,Strigidae,Glaucidium gnoma,Northern Pygmy-Owl,nopowl,0,1,1
Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-whet Owl,nswowl,0,1,1
Strigiformes,Strigidae,Megascops cooperi,Pacific Screech-Owl,pasowl4,0,1,1
Strigiformes,Strigidae,Pulsatrix perspicillata,Spectacled Owl,speowl1,0,1,1
Strigiformes,Strigidae,Strix occidentalis,Spotted Owl,spoowl,0,1,1
Strigiformes,Strigidae,Asio clamator,Striped Owl,strowl1,0,1,1
Strigiformes,Strigidae,Asio stygius,Stygian Owl,styowl1,0,1,1
Strigiformes,Strigidae,Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,0,1,1
Strigiformes,Strigidae,Megascops guatemalae,Middle American Screech-Owl,vesowl,0,1,1
Strigiformes,Strigidae,Megascops kennicottii,Western Screech-Owl,wesowl1,0,1,1
Strigiformes,Strigidae,Megascops trichopsis,Whiskered Screech-Owl,whsowl1,0,1,1
Strigiformes,Tytonidae,Tyto furcata,American Barn Owl,brnowl,0,1,1
Trogoniformes,Trogonidae,Trogon collaris,Collared Trogon,coltro1,1,1,1
Trogoniformes,Trogonidae,Euptilotis neoxenus,Eared Quetzal,earque,0,1,1
Trogoniformes,Trogonidae,Trogon elegans,Elegant Trogon,eletro,0,1,1
Trogoniformes,Trogonidae,Trogon caligatus,Gartered Trogon,gartro1,0,1,1
Trogoniformes,Trogonidae,Trogon mexicanus,Mountain Trogon,moutro1,0,1,1
Trogoniformes,Trogonidae,Pharomachrus mocinno,Resplendent Quetzal,resque1,1,1,1
Trogoniformes,Trogonidae,Trogon massena,Slaty-tailed Trogon,slttro1,1,0,1
